,name,address,city,category,rating,url
1652,Black Iris,228 Dekalb Ave,Brooklyn,Middle Eastern,4.0,http://www.yelp.com/biz/black-iris-brooklyn
1653,Stocked,635 Vanderbilt Ave,Brooklyn,American (New),4.0,http://www.yelp.com/biz/stocked-brooklyn-2
1654,El Cofre,454 Myrtle Ave,Brooklyn,Latin American,4.0,http://www.yelp.com/biz/el-cofre-brooklyn-2
1655,Farmer In the Deli,357 Myrtle Ave,Brooklyn,Grocery,4.5,http://www.yelp.com/biz/farmer-in-the-deli-brooklyn
1656,Pilar Cuban Eatery,393 Classon Ave,Brooklyn,Cuban,4.0,http://www.yelp.com/biz/pilar-cuban-eatery-brooklyn
1657,Purbird,82 Sixth Ave,Brooklyn,American (New),4.5,http://www.yelp.com/biz/purbird-brooklyn
1658,232,232 Taaffe Pl,Brooklyn,Coffee & Tea,4.0,http://www.yelp.com/biz/232-brooklyn
1659,Taqueria De Los Muertos,663 Washington Ave,Brooklyn,Mexican,4.0,http://www.yelp.com/biz/taqueria-de-los-muertos-brooklyn
1660,Pillow Cafe Lounge,505 Myrtle Ave,Brooklyn,Coffee & Tea,3.5,http://www.yelp.com/biz/pillow-cafe-lounge-brooklyn-3
1661,The Milk Truck,176 Lafayette Ave,Brooklyn,Food Stands,3.5,http://www.yelp.com/biz/the-milk-truck-brooklyn
1662,Choice Market,318 Lafayette Ave,Brooklyn,Coffee & Tea,3.5,http://www.yelp.com/biz/choice-market-brooklyn
1663,Il Porto,37 Washington Ave,New York,Pizza,4.0,http://www.yelp.com/biz/il-porto-new-york-2
1664,WAZA Sushi & Ramen,485 Myrtle Ave,Brooklyn,Sushi Bars,3.5,http://www.yelp.com/biz/waza-sushi-and-ramen-brooklyn-2
1665,Colador Cafe,1000 Bedford Ave,Brooklyn,Coffee & Tea,4.0,http://www.yelp.com/biz/colador-cafe-brooklyn-4
1666,CorletteNY,193a Nostrand Ave,Brooklyn,Caribbean,4.0,http://www.yelp.com/biz/corletteny-brooklyn
1667,City Sub,450 Bergen St,Brooklyn,Sandwiches,4.5,http://www.yelp.com/biz/city-sub-brooklyn
1668,David's Brisket House,533 Nostrand Ave,Brooklyn,Delis,4.5,http://www.yelp.com/biz/davids-brisket-house-brooklyn
1669,Chick P,490 Bergen St,Brooklyn,Falafel,4.5,http://www.yelp.com/biz/chick-p-brooklyn
1670,BKLYN Larder,228 Flatbush Ave,Brooklyn,Cheese Shops,4.0,http://www.yelp.com/biz/bklyn-larder-brooklyn
1671,Totonno's,1524 Neptune Ave,Brooklyn,Pizza,4.0,http://www.yelp.com/biz/totonnos-brooklyn
1672,Nathan's Famous,1310 Surf Ave,Brooklyn,American (Traditional),3.5,http://www.yelp.com/biz/nathans-famous-brooklyn
